10000 10000
0 1 5
0 6 4
0 8 4
0 99 4
0 136 3
0 309 3
0 2590 8
0 9663 4
1 2 6
1 3 10
1 56 1
1 82 3
1 2181 4
1 2705 7
1 2783 3
1 4685 9
2 4 4
2 7 2
2 10 6
2 16 1
2 65 8
2 91 4
2 165 7
2 460 3
3 171 8
3 781 6
3 2370 7
3 2844 10
3 3432 10
4 5 9
4 14 3
4 110 9
4 133 8
4 941 8
4 3555 9
4 4012 8
5 24 8
5 28 4
5 29 10
5 53 4
5 2571 6
5 2978 8
5 4508 3
5 4970 5
5 6608 6
6 9 3
6 12 7
6 19 3
6 59 9
6 67 3
6 130 2
6 173 5
6 362 4
6 379 8
6 423 7
6 755 2
6 1759 9
7 61 3
7 74 8
7 81 5
7 411 10
7 691 7
7 1873 6
7 3053 8
7 5059 3
8 26 4
8 34 2
8 46 5
8 166 9
8 176 3
8 235 10
8 3286 4
8 5324 4
9 17 8
9 18 2
9 25 10
9 48 9
9 72 10
9 517 4
9 2578 1
9 5955 4
10 11 7
10 21 7
10 31 5
10 146 9
10 189 4
10 296 7
10 304 4
10 351 3
10 697 8
10 1382 5
11 13 4
11 22 5
11 42 1
11 162 6
11 203 9
11 354 3
11 493 3
11 949 5
11 1757 3
11 1789 2
11 1965 10
11 6572 6
12 15 5
12 260 7
12 439 4
12 766 4
12 1100 5
12 2125 5
13 57 9
13 177 2
13 318 1
13 1538 8
13 6214 6
13 8686 7
13 9431 3
14 20 9
14 41 1
14 145 3
14 487 7
14 859 3
14 5184 4
14 8996 3
15 23 8
15 52 6
15 251 6
15 291 3
15 917 1
16 47 2
16 86 2
16 910 4
16 7576 10
17 27 2
17 1145 3
17 2436 6
18 60 4
18 183 6
18 363 6
18 1379 2
18 2813 5
18 3757 9
19 62 6
19 276 10
19 1837 9
19 6604 8
20 366 7
20 5122 6
21 155 5
21 1341 9
21 1464 5
21 5360 4
21 5557 1
21 8316 10
22 50 7
22 111 4
22 789 7
22 7120 9
22 9894 7
23 33 5
23 43 3
23 104 9
23 122 7
23 157 6
23 219 9
23 647 2
24 6416 3
24 9083 3
25 32 4
25 79 1
25 334 6
25 465 8
25 828 3
25 940 1
25 1531 4
25 4345 9
26 30 7
26 45 2
26 55 9
26 106 4
26 572 7
26 953 8
26 1120 7
26 1378 1
26 1969 1
26 6182 7
27 37 6
27 323 4
27 566 1
27 1123 9
27 5861 5
27 9802 7
28 293 2
28 852 2
28 1611 9
28 4613 5
28 5565 10
28 9419 6
29 36 10
29 39 4
29 116 1
29 156 9
29 357 1
29 1097 8
29 1502 5
29 2501 8
30 170 4
30 275 10
30 444 6
30 2182 2
30 2322 8
31 890 5
31 7962 9
32 49 5
32 138 2
32 1236 2
32 1437 4
32 2010 4
32 2213 3
32 4294 6
33 35 1
33 38 7
33 224 3
33 308 6
33 3387 6
33 4021 4
34 164 10
34 343 3
34 468 7
34 727 8
34 3619 7
34 8697 5
35 44 7
35 63 7
35 98 9
35 204 4
35 6567 1
35 9779 7
36 40 5
36 564 1
36 615 10
36 1036 2
36 1954 2
36 2947 8
36 5007 8
37 108 4
37 192 5
37 421 2
38 54 4
38 75 2
38 78 4
38 141 3
38 2626 5
39 217 6
39 333 1
39 832 9
39 2482 7
39 3422 7
39 6855 4
39 9938 1
40 76 8
40 484 3
40 777 3
40 5160 3
41 51 4
41 135 5
41 218 10
41 911 10
41 2650 2
41 6974 9
41 7495 8
42 215 10
43 107 4
43 4887 2
43 8705 8
44 68 2
44 305 1
44 2873 1
45 71 6
45 89 2
45 94 10
45 158 2
45 159 2
45 314 10
45 968 9
45 1637 8
46 70 6
46 984 10
46 3528 1
47 2624 9
47 4331 2
47 4909 4
47 7636 9
48 58 3
48 109 9
48 120 6
48 301 9
48 341 3
48 434 4
48 677 2
48 988 8
48 2150 6
49 97 8
49 101 10
49 2326 3
49 5109 10
49 5602 1
49 6685 10
49 7993 10
49 8171 9
50 131 6
50 272 3
50 9535 6
51 125 6
51 172 9
51 196 9
51 400 6
51 579 8
51 1882 10
51 3536 9
51 5226 1
52 231 1
52 240 7
52 258 2
52 281 6
52 392 6
52 3644 5
52 7574 6
52 8189 8
53 201 7
53 284 6
53 1371 6
53 7224 5
54 69 9
54 127 7
54 200 9
54 1001 4
54 3178 6
55 121 7
55 4629 7
56 66 10
56 95 5
56 102 7
56 879 10
56 4602 8
57 227 6
57 738 7
57 1317 4
57 7885 6
58 211 9
58 1571 5
58 5079 2
58 8238 8
59 64 7
59 7699 10
60 389 7
60 483 7
60 3191 6
62 77 8
62 85 3
62 115 2
62 326 8
62 401 10
63 114 4
63 383 3
63 2067 3
64 385 1
64 693 2
64 8854 7
65 441 8
65 1592 9
65 4074 1
65 5017 4
65 6993 5
65 8226 3
66 73 1
66 599 3
66 846 10
66 1422 7
66 7578 10
67 179 3
67 440 10
67 3515 9
67 8276 10
67 9040 5
68 186 6
68 1233 10
68 2515 8
68 2632 4
68 4063 4
68 4486 1
68 8974 5
69 80 9
69 124 6
69 502 1
69 792 2
69 877 9
69 1364 9
69 1511 1
69 5332 2
69 7300 5
70 83 5
70 504 4
70 1099 5
70 1644 6
70 2692 5
70 7403 8
71 128 2
71 1798 9
71 9104 10
72 84 8
72 537 1
72 2407 10
72 2536 1
72 2800 10
72 7395 5
72 8718 3
73 90 8
73 3889 9
74 87 10
74 105 5
74 303 5
75 100 4
75 132 3
75 442 6
75 3096 3
75 4066 7
76 123 7
76 2214 9
76 8696 10
76 8746 2
77 161 10
77 390 9
77 831 8
77 1238 9
77 3969 10
78 160 8
78 5124 1
79 92 10
79 445 1
79 3711 7
80 118 10
80 622 3
80 2555 6
81 93 10
81 246 8
81 1186 5
81 5903 9
82 134 10
82 181 9
82 398 4
82 1112 6
82 4798 3
83 463 8
83 810 6
83 4443 1
83 4726 4
83 6351 5
83 6487 3
84 88 6
84 149 8
84 3056 1
84 5758 5
85 289 6
85 513 8
85 556 10
86 259 8
86 270 8
86 778 4
86 2421 3
86 2447 7
86 6700 9
87 191 5
87 942 6
88 678 10
88 1086 8
88 1228 7
88 2455 7
88 7606 2
89 96 4
89 148 6
89 1206 6
89 1415 8
89 2688 9
89 4281 5
90 261 2
90 728 10
90 2843 1
90 6317 8
91 384 7
91 655 2
91 658 2
91 1609 7
91 3189 6
91 5490 9
92 178 10
92 208 3
92 1522 9
92 7473 5
93 428 8
93 1157 9
94 198 3
94 628 2
94 1887 2
94 2438 4
94 4662 6
95 369 3
95 928 3
96 113 9
96 119 10
96 315 2
96 716 1
96 2775 1
97 139 10
97 168 4
97 758 9
97 1904 6
97 3818 6
97 7853 8
98 140 8
98 190 9
98 435 3
98 2099 4
98 5841 8
99 1138 4
99 4646 8
100 230 7
100 361 7
100 5279 9
101 103 7
101 1153 9
101 1465 8
101 9724 3
102 2357 3
102 3764 3
103 243 7
103 319 10
103 359 3
103 707 3
103 1115 2
103 2016 3
103 2311 2
103 7178 1
104 210 6
104 417 6
104 1876 9
105 112 6
105 457 8
106 238 9
106 2255 6
106 4372 5
106 9376 8
107 152 4
107 482 8
107 1225 10
107 2210 4
107 5126 5
108 8791 10
109 117 6
109 565 1
109 1913 2
109 2250 6
109 6256 5
110 295 8
110 3471 5
111 126 1
111 188 2
111 325 7
111 2216 7
111 8058 10
112 137 6
112 169 2
112 175 1
112 656 10
112 5998 2
112 9148 7
113 129 10
113 264 6
113 321 10
113 339 2
113 1064 5
113 2794 10
113 6012 1
114 151 9
114 167 10
114 300 7
114 2651 4
115 535 3
115 1020 3
115 1480 4
115 6899 4
116 247 7
116 4141 10
116 8242 9
117 195 7
117 269 2
117 1248 5
118 143 4
118 371 6
118 453 5
118 903 2
118 4004 10
119 661 2
119 1227 6
120 144 8
120 245 6
120 585 1
120 1278 10
120 4777 4
121 242 8
121 748 6
122 761 7
122 2360 5
122 9923 2
123 163 9
123 373 3
123 751 6
123 7450 3
123 8895 4
124 150 8
124 216 4
124 320 9
124 722 10
124 1132 6
124 2520 3
125 244 2
125 330 7
125 3858 10
125 7425 3
126 142 6
126 153 1
126 299 4
126 788 7
126 1167 1
127 184 10
127 311 10
127 3175 6
127 4879 6
128 234 5
128 1247 3
128 2457 7
128 8682 8
129 634 4
129 7857 4
129 8232 2
130 180 10
130 212 1
130 344 7
130 2175 7
130 3181 7
130 3278 5
130 3453 8
131 2185 1
132 185 6
132 4968 1
133 174 8
133 228 6
133 355 8
135 225 5
135 682 3
