10000 100000
0 1 9
0 6 10
0 20 3
0 55 7
0 58 5
0 126 3
0 214 72
0 238 7
0 696 479
0 815 203
0 1181 5
0 1786 205
0 2530 348
0 2683 4
0 2902 207
0 3234 269
0 3467 756
0 3654 851
0 6456 72
0 6654 670
0 6694 791
0 7440 692
0 7667 576
0 8027 382
0 8081 33
1 2 4
1 12 5
1 37 5
1 139 6
1 189 10
1 290 5
1 1676 647
1 1767 478
1 1930 155
1 4722 929
1 4874 366
1 4910 845
1 5851 756
1 6236 554
1 6283 66
1 6968 417
1 6977 8
1 7484 840
1 7512 10
1 7614 382
1 9683 559
1 9980 210
2 3 1
2 15 8
2 54 9
2 56 4
2 146 5
2 349 287
2 416 876
2 594 795
2 864 3
2 1158 253
2 1244 615
2 1337 3
2 1395 7
2 2192 460
2 4577 158
2 4975 293
2 5033 352
2 6155 632
2 6461 392
2 6810 718
2 7213 352
2 7795 827
2 8482 227
2 9338 163
2 9477 881
3 4 3
3 5 7
3 11 1
3 62 8
3 211 933
3 244 574
3 696 5
3 880 105
3 902 984
3 1248 4
3 1284 9
3 1478 404
3 1962 1
3 3060 172
3 3076 642
3 3155 561
3 3886 105
3 4065 80
3 4998 111
3 6563 536
3 6877 805
3 7033 964
3 7577 504
3 7974 887
3 8057 470
3 8180 993
3 8711 755
3 8745 430
3 9054 120
4 9 1
4 132 10
4 631 10
4 712 800
4 785 8
4 1068 2
4 1497 438
4 2087 4
4 3252 284
4 3270 9
4 3823 870
4 4035 898
4 4643 991
4 5301 551
4 7447 96
4 7651 620
4 8411 424
4 8878 244
4 8979 63
4 9725 326
4 9907 765
5 7 1
5 32 9
5 91 440
5 99 810
5 209 4
5 510 3
5 572 725
5 1462 901
5 2776 345
5 3214 400
5 3971 791
5 4159 9
5 4435 464
5 4629 929
5 5533 389
5 6107 761
5 7558 374
5 8251 87
5 8813 797
6 8 1
6 13 2
6 16 5
6 39 9
6 84 5
6 451 871
6 705 462
6 961 510
6 1210 142
6 1233 8
6 1315 439
6 1629 5
6 1763 582
6 2725 353
6 3230 50
6 3297 356
6 3300 854
6 3784 199
6 4145 139
6 4634 935
6 5056 332
6 5861 187
6 5934 156
6 6210 600
6 6731 992
