2000 100000
0 1 3
0 2 2
0 4 10
0 8 2
0 9 6
0 11 10
0 14 61
0 17 81
0 33 152
0 37 214
0 59 6
0 66 917
0 88 689
0 107 227
0 113 35
0 121 766
0 142 978
0 160 7
0 165 248
0 175 676
0 206 710
0 233 10
0 240 835
0 258 10
0 259 8
0 263 387
0 282 22
0 309 555
0 319 4
0 369 528
0 421 60
0 478 30
0 526 7
0 529 171
0 542 360
0 544 56
0 545 633
0 566 429
0 593 208
0 643 724
0 673 540
0 683 530
0 696 39
0 715 28
0 716 500
0 729 788
0 738 18
0 750 74
0 752 348
0 838 711
0 888 157
0 900 748
0 920 504
0 945 165
0 951 993
0 952 56
0 967 926
0 977 455
0 978 934
0 981 272
0 983 978
0 1012 402
0 1015 627
0 1020 564
0 1026 140
0 1069 627
0 1085 427
0 1091 674
0 1092 490
0 1127 470
0 1140 793
0 1142 887
0 1149 162
0 1151 76
0 1170 469
0 1183 14
0 1216 651
0 1253 425
0 1296 701
0 1324 750
0 1328 196
0 1330 23
0 1367 164
0 1372 292
0 1419 781
0 1465 444
0 1472 729
0 1488 665
0 1507 620
0 1509 658
0 1530 811
0 1566 55
0 1585 516
0 1629 738
0 1644 409
0 1686 304
0 1702 493
0 1718 452
0 1775 428
0 1780 531
0 1787 942
0 1799 743
0 1803 285
0 1811 209
0 1825 796
0 1894 400
0 1905 667
0 1907 249
0 1916 980
0 1932 638
0 1944 549
0 1951 901
0 1970 950
0 1977 289
1 3 10
1 5 1
1 26 977
1 27 10
1 45 874
1 46 806
1 55 53
1 60 984
1 78 424
1 87 897
1 104 84
1 136 3
1 152 8
1 175 673
1 202 7
1 212 450
1 234 336
1 283 689
1 294 709
1 302 551
1 305 435
1 328 212
1 340 111
1 407 221
1 439 922
1 443 847
1 482 350
1 489 189
1 506 4
1 517 94
1 521 597
1 527 873
1 543 591
1 616 80
1 650 212
1 652 816
1 664 135
1 688 19
1 720 450
1 728 864
1 741 2
1 765 948
1 790 261
1 800 575
1 806 474
1 845 56
1 859 952
1 891 646
1 966 19
1 972 724
1 1014 451
1 1022 644
1 1028 976
1 1038 737
1 1055 162
1 1095 2
1 1120 320
1 1123 801
1 1127 958
1 1148 755
1 1208 543
1 1240 414
1 1266 839
1 1284 179
1 1300 767
1 1304 804
1 1342 982
1 1353 831
1 1361 540
1 1387 25
1 1391 234
1 1404 693
1 1411 903
1 1455 861
1 1490 992
1 1502 661
1 1524 239
1 1545 713
1 1588 249
1 1597 953
1 1618 777
1 1633 922
1 1640 359
1 1647 82
1 1653 659
1 1654 329
1 1710 134
1 1717 845
1 1732 618
1 1741 689
1 1777 17
1 1778 511
1 1802 976
1 1850 102
1 1864 467
1 1891 212
1 1930 257
1 1940 770
1 1941 923
1 1954 390
1 1957 343
1 1965 473
2 7 3
2 13 4
2 20 744
2 26 813
2 59 437
2 86 446
2 125 571
2 147 793
2 185 964
2 200 509
2 268 733
2 310 658
2 330 545
2 352 437
2 399 854
2 442 322
2 444 664
2 468 756
2 514 66
2 588 254
2 599 994
2 661 397
2 664 147
2 665 804
2 686 221
2 705 408
2 718 464
2 732 551
2 754 348
2 766 176
2 776 440
2 806 662
2 816 256
2 859 214
2 874 190
2 903 799
2 926 18
2 944 6
2 951 906
2 956 664
2 958 952
2 977 918
2 1068 161
2 1082 888
2 1086 127
2 1106 311
2 1124 596
2 1128 915
2 1132 202
2 1152 167
2 1153 640
2 1196 1
2 1226 882
2 1254 911
2 1260 682
2 1276 283
2 1288 29
2 1323 720
2 1329 699
2 1338 839
2 1339 624
2 1355 629
2 1403 231
2 1442 4
2 1444 739
2 1475 361
2 1539 863
2 1540 730
2 1554 409
2 1558 758
2 1602 556
2 1610 343
2 1612 480
2 1649 30
2 1700 123
2 1712 682
2 1717 734
2 1718 463
2 1761 558
2 1773 318
2 1828 777
2 1844 361
2 1851 216
2 1860 216
2 1879 833
2 1887 550
2 1902 122
2 1937 193
3 6 7
3 10 7
3 12 4
3 37 3
3 42 10
3 46 650
3 50 164
3 60 249
3 82 580
3 95 738
3 127 669
3 136 361
3 142 865
3 161 773
3 203 120
3 209 602
3 218 835
3 223 794
3 224 945
3 226 93
3 265 630
3 301 953
3 311 57
3 321 330
3 324 670
3 336 539
3 392 399
3 420 979
3 429 214
3 481 742
3 483 333
3 514 851
3 517 656
3 583 73
3 592 897
3 593 861
3 605 406
3 610 947
3 627 483
3 628 45
3 631 415
3 680 418
3 684 708
3 699 219
3 700 164
3 718 702
3 722 415
3 746 617
3 755 455
3 799 434
3 812 353
3 909 117
3 944 980
3 946 592
3 948 162
3 952 268
3 984 974
3 987 637
3 1004 827
3 1033 169
3 1045 102
3 1064 284
3 1081 316
3 1086 920
3 1096 78
3 1104 588
3 1127 138
3 1129 114
3 1177 800
3 1195 406
3 1221 352
3 1251 732
3 1285 23
3 1334 296
3 1403 113
3 1429 508
3 1439 744
3 1443 506
3 1455 348
3 1465 898
3 1499 167
3 1567 431
3 1572 797
3 1574 564
3 1600 176
3 1614 462
3 1632 555
3 1648 80
3 1651 721
3 1652 435
3 1657 682
3 1667 807
3 1684 831
3 1693 234
3 1695 329
3 1697 125
3 1703 351
3 1725 374
3 1727 505
3 1740 3
3 1745 23
3 1750 475
3 1769 909
3 1782 945
3 1844 136
3 1848 60
3 1852 108
3 1877 378
3 1881 557
3 1910 80
