5000 100000
0 1 9
0 3 10
0 4 7
0 5 6
0 22 708
0 25 6
0 71 1
0 118 9
0 137 10
0 226 310
0 275 5
0 382 596
0 490 106
0 528 861
0 969 893
0 1116 953
0 1212 10
0 1285 341
0 1309 723
0 1347 775
0 1362 645
0 1381 894
0 1392 4
0 1412 76
0 1638 957
0 1650 943
0 1715 280
0 1743 36
0 1938 371
0 2107 59
0 2130 108
0 2182 829
0 2245 645
0 2256 455
0 2911 825
0 2941 385
0 4270 708
0 4283 581
0 4339 65
0 4803 460
0 4997 714
1 2 4
1 13 8
1 14 9
1 81 6
1 113 3
1 141 902
1 185 4
1 209 263
1 224 363
1 280 872
1 496 290
1 554 7
1 572 580
1 683 877
1 855 998
1 893 489
1 945 734
1 1346 910
1 1517 273
1 1899 811
1 1929 3
1 1934 981
1 2065 432
1 2175 371
1 2246 394
1 2384 176
1 2456 536
1 2593 685
1 2660 897
1 2728 424
1 2792 23
1 2803 749
1 2857 758
1 2907 345
1 2954 243
1 2962 429
1 2990 824
1 2992 568
1 3100 696
1 3341 129
1 3378 864
1 3558 837
1 3620 322
1 3676 674
1 3685 808
1 3772 240
1 3785 939
1 3801 683
1 3968 106
1 4097 638
1 4205 819
1 4301 492
1 4444 229
1 4471 355
1 4553 657
1 4566 293
1 4645 28
1 4695 641
1 4810 330
2 6 9
2 7 10
2 11 4
2 28 4
2 189 894
2 211 7
2 283 724
2 300 582
2 307 290
2 332 877
2 363 341
2 380 17
2 529 250
2 588 304
2 592 195
2 736 19
2 751 291
2 831 144
2 911 570
2 985 320
2 1273 731
2 1322 834
2 1336 456
2 1393 459
2 1563 653
2 1578 613
2 1645 658
2 1912 990
2 2179 506
2 2223 906
2 2268 36
2 2325 977
2 2376 111
2 2439 22
2 2528 731
2 2589 991
2 2591 775
2 2593 817
2 2609 501
2 2727 416
2 2818 382
2 3129 343
2 3352 17
2 3368 658
2 3376 2
2 3486 20
2 3533 852
2 3575 939
2 3786 462
2 3954 157
2 3981 102
2 4219 57
2 4576 992
2 4821 627
2 4843 317
2 4972 383
3 8 8
3 16 1
3 36 10
3 47 6
3 68 10
3 147 5
3 184 798
3 600 7
3 794 57
3 843 688
3 916 667
3 947 213
3 973 851
