2000 10000
0 1 3
0 2 2
0 4 10
0 8 2
0 9 6
0 11 10
0 59 6
0 107 227
0 142 978
0 160 7
0 233 10
0 258 10
0 259 8
0 282 22
0 319 4
0 952 56
0 1149 162
0 1932 638
1 3 10
1 5 1
1 27 10
1 136 3
1 152 8
1 202 7
1 439 922
1 720 450
1 741 2
1 859 952
1 1411 903
1 1545 713
1 1741 689
1 1891 212
1 1941 923
2 7 3
2 13 4
2 26 813
2 468 756
2 754 348
2 859 214
2 1128 915
2 1196 1
2 1355 629
2 1444 739
2 1844 361
2 1860 216
3 6 7
3 10 7
3 12 4
3 37 3
3 42 10
3 311 57
3 1081 316
3 1948 388
3 1960 617
4 15 2
4 75 2
4 89 2
4 110 167
4 119 4
4 192 8
4 301 3
4 337 474
4 346 799
4 408 896
4 426 654
4 781 331
4 943 1
4 1165 379
4 1476 733
4 1672 272
4 1681 742
4 1747 5
4 1870 516
4 1947 5
4 1992 418
5 86 8
5 163 98
5 392 10
5 452 4
5 608 935
5 638 5
5 702 734
5 981 301
5 1214 9
5 1220 521
5 1285 727
5 1397 467
5 1458 48
5 1708 2
5 1811 517
6 22 3
6 170 875
6 184 296
6 286 3
6 1000 307
6 1374 233
6 1494 376
6 1931 912
7 14 6
7 21 958
7 41 2
7 45 8
7 80 2
7 143 3
7 166 5
7 445 476
7 723 844
7 739 676
7 946 340
7 1244 324
8 23 7
8 28 6
8 77 10
8 362 313
8 569 535
8 643 662
8 744 186
8 893 9
8 920 693
8 1431 351
9 144 10
9 171 8
9 185 10
9 306 814
9 475 220
9 614 567
9 687 516
9 758 296
9 768 701
9 1407 693
9 1520 300
9 1823 341
9 1925 239
10 18 1
10 36 4
10 67 9
10 218 5
10 318 878
10 543 8
10 622 10
10 672 740
10 720 230
10 1114 678
10 1457 229
10 1494 682
10 1556 825
10 1629 440
10 1697 4
11 20 7
11 24 6
11 47 8
11 56 8
11 117 777
11 324 296
11 420 857
11 577 5
11 583 8
11 723 571
11 769 6
11 887 3
11 979 561
11 1013 666
11 1115 111
11 1139 64
11 1228 1
11 1724 963
12 16 6
12 26 10
12 49 2
12 50 7
12 70 1
12 93 137
12 170 446
12 226 3
12 246 1
12 320 9
12 543 309
12 562 4
12 617 964
12 650 584
12 804 747
12 1121 194
12 1126 8
12 1366 374
12 1435 704
13 83 788
13 87 293
13 106 451
13 315 7
13 380 451
13 541 8
13 617 31
13 893 54
13 896 259
13 950 813
13 1242 34
13 1252 580
13 1369 98
13 1418 521
13 1609 5
13 1695 944
13 1812 480
13 1845 83
14 137 759
14 161 7
14 288 302
14 305 222
14 568 676
14 1144 882
14 1333 885
14 1799 881
15 17 10
15 168 557
15 286 400
15 668 403
15 963 640
15 1139 49
15 1603 173
15 1656 777
15 1683 465
15 1934 413
16 110 267
16 127 3
16 273 5
16 313 288
16 383 23
16 448 3
16 611 996
16 991 290
16 1172 363
16 1206 464
16 1723 9
17 19 5
17 25 9
17 34 1
17 40 3
17 104 2
17 134 3
17 174 788
17 941 143
17 1037 906
17 1126 91
18 21 10
18 39 2
18 184 9
18 262 184
18 271 10
18 282 3
18 288 6
18 335 9
18 411 3
18 593 32
18 1037 241
18 1239 575
18 1287 170
19 232 736
19 324 187
19 898 473
19 907 832
19 1435 886
19 1944 8
20 30 7
20 261 293
20 386 131
20 504 2
20 657 614
20 709 429
20 803 206
20 1004 1
20 1707 8
21 29 6
21 33 1
21 216 1
21 380 268
21 634 505
21 790 241
21 814 628
21 1013 8
21 1180 542
21 1320 144
21 1645 147
21 1844 6
21 1954 60
22 26 230
22 150 872
22 566 930
22 739 533
22 818 276
22 1064 10
22 1748 515
23 31 2
23 43 6
23 52 5
23 72 1
23 132 9
23 286 840
23 373 2
23 592 711
23 880 634
23 928 294
23 1087 531
23 1584 148
23 1859 7
24 76 1
24 251 332
24 344 10
24 381 3
24 427 4
24 497 10
24 949 9
24 1139 881
24 1326 707
24 1417 2
24 1694 429
24 1704 217
24 1883 593
25 28 393
25 225 297
25 324 343
25 629 550
25 854 939
25 961 362
25 1662 98
25 1839 313
25 1933 458
26 35 6
26 54 5
26 64 2
26 205 177
26 229 5
26 422 413
26 443 2
26 762 6
26 860 4
26 1029 634
26 1208 105
26 1436 665
26 1556 668
26 1626 846
26 1753 377
26 1788 223
26 1811 964
26 1855 602
26 1995 368
27 32 4
27 51 1
27 189 10
27 428 899
27 602 112
27 1290 106
27 1356 625
27 1518 543
27 1682 659
27 1705 130
28 48 3
28 92 10
28 103 1
28 197 9
28 270 6
28 309 9
28 519 584
28 536 3
28 681 837
28 935 313
28 1834 58
29 128 41
29 135 4
29 155 2
29 334 591
29 542 453
29 578 454
29 827 1
29 1013 107
29 1072 33
29 1142 476
30 159 3
30 522 10
30 785 816
30 942 400
30 1149 10
30 1805 42
31 47 990
31 271 608
31 284 737
31 360 925
31 537 283
31 822 144
31 1114 898
31 1369 367
31 1580 859
31 1697 355
31 1711 27
31 1839 637
31 1987 753
32 44 8
32 50 262
32 66 257
32 78 406
32 81 342
32 98 5
32 772 657
32 819 633
32 916 71
32 943 235
32 995 940
32 1119 99
32 1168 712
32 1473 252
32 1935 742
33 256 215
33 257 165
33 593 50
33 943 397
33 1371 301
33 1455 363
33 1532 134
33 1966 782
34 58 1
34 130 4
34 167 8
34 228 838
34 298 8
34 339 329
34 502 144
34 532 8
